Category: All categories

Day,blockchain: (Worldwide)
2019-09-01,53
2019-09-02,70
2019-09-03,87
2019-09-04,87
2019-09-05,90
2019-09-06,88
2019-09-07,56
2019-09-08,65
2019-09-09,91
2019-09-10,87
2019-09-11,84
2019-09-12,87
2019-09-13,83
2019-09-14,58
2019-09-15,62
2019-09-16,83
2019-09-17,87
2019-09-18,100
2019-09-19,91
2019-09-20,89
2019-09-21,64
2019-09-22,59
2019-09-23,91
2019-09-24,88
2019-09-25,94
2019-09-26,93
2019-09-27,82
2019-09-28,59
2019-09-29,62
2019-09-30,83
2019-10-01,83
2019-10-02,81
2019-10-03,89
2019-10-04,81
2019-10-05,59
2019-10-06,62
2019-10-07,79
2019-10-08,77
2019-10-09,81
2019-10-10,80
2019-10-11,86
2019-10-12,59
2019-10-13,54
2019-10-14,79
2019-10-15,91
2019-10-16,85
2019-10-17,87
2019-10-18,82
2019-10-19,58
2019-10-20,59
2019-10-21,84
2019-10-22,79
2019-10-23,85
2019-10-24,81
2019-10-25,80
2019-10-26,69
2019-10-27,62
2019-10-28,85
2019-10-29,99
2019-10-30,96
2019-10-31,88
2019-11-01,90
2019-11-02,76
2019-11-03,69
2019-11-04,86
2019-11-05,87
2019-11-06,88
2019-11-07,91
2019-11-08,86
2019-11-09,59
2019-11-10,65
2019-11-11,80
2019-11-12,87
2019-11-13,90
2019-11-14,86
2019-11-15,87
2019-11-16,66
2019-11-17,61
2019-11-18,83
2019-11-19,90
2019-11-20,79
2019-11-21,90
2019-11-22,80
2019-11-23,58
2019-11-24,64
2019-11-25,78
2019-11-26,85
2019-11-27,88
2019-11-28,75
2019-11-29,72
2019-11-30,62
2019-12-01,59
2019-12-02,80
2019-12-03,87
2019-12-04,89
2019-12-05,81
2019-12-06,72
2019-12-07,60
2019-12-08,56
2019-12-09,71
2019-12-10,80
2019-12-11,76
2019-12-12,82
2019-12-13,80
2019-12-14,58
2019-12-15,56
2019-12-16,75
2019-12-17,77
2019-12-18,81
2019-12-19,74
2019-12-20,67
2019-12-21,55
2019-12-22,49
2019-12-23,63
2019-12-24,58
2019-12-25,47
2019-12-26,61
2019-12-27,60
2019-12-28,56
2019-12-29,53
2019-12-30,58
2019-12-31,55
2020-01-01,46
2020-01-02,66
2020-01-03,66
2020-01-04,57
2020-01-05,53
2020-01-06,69
2020-01-07,75
2020-01-08,79
2020-01-09,75
2020-01-10,73
2020-01-11,62
2020-01-12,59
2020-01-13,76
2020-01-14,88
2020-01-15,82
2020-01-16,96
2020-01-17,75
2020-01-18,65
2020-01-19,58
2020-01-20,84
2020-01-21,88
2020-01-22,84
2020-01-23,84
2020-01-24,71
2020-01-25,57
2020-01-26,56
2020-01-27,74
2020-01-28,77
2020-01-29,80
2020-01-30,83
2020-01-31,72
2020-02-01,58
2020-02-02,51
2020-02-03,70
2020-02-04,81
2020-02-05,81
2020-02-06,86
2020-02-07,78
2020-02-08,66
2020-02-09,59
2020-02-10,80
2020-02-11,91
2020-02-12,87
2020-02-13,87
2020-02-14,79
2020-02-15,60
2020-02-16,62
2020-02-17,82
2020-02-18,78
2020-02-19,80
2020-02-20,84
2020-02-21,71
2020-02-22,64
2020-02-23,59
2020-02-24,74
2020-02-25,82
2020-02-26,79
2020-02-27,76
2020-02-28,71
2020-02-29,61
2020-03-01,54
2020-03-02,74
2020-03-03,79
2020-03-04,79
2020-03-05,82
2020-03-06,80
2020-03-07,56
2020-03-08,56
2020-03-09,71
2020-03-10,73
2020-03-11,65
2020-03-12,63
2020-03-13,63
2020-03-14,51
2020-03-15,55
2020-03-16,56
2020-03-17,61
2020-03-18,65
2020-03-19,62
2020-03-20,60
2020-03-21,59
2020-03-22,53
2020-03-23,57
2020-03-24,60
2020-03-25,59
2020-03-26,64
2020-03-27,65
2020-03-28,57
2020-03-29,63
2020-03-30,62
2020-03-31,65
2020-04-01,60
2020-04-02,69
2020-04-03,66
2020-04-04,66
2020-04-05,66
2020-04-06,77
2020-04-07,76
2020-04-08,69
2020-04-09,71
2020-04-10,71
2020-04-11,61
2020-04-12,64
2020-04-13,68
2020-04-14,70
2020-04-15,71
2020-04-16,71
2020-04-17,70
2020-04-18,63
2020-04-19,67
2020-04-20,72
2020-04-21,78
2020-04-22,72
2020-04-23,72
2020-04-24,74
2020-04-25,64
2020-04-26,75
2020-04-27,70
2020-04-28,78
2020-04-29,77
2020-04-30,84
