Category: All categories

Day,eth: (Worldwide)
2020-04-01,28
2020-04-02,28
2020-04-03,28
2020-04-04,26
2020-04-05,27
2020-04-06,33
2020-04-07,36
2020-04-08,32
2020-04-09,28
2020-04-10,30
2020-04-11,30
2020-04-12,27
2020-04-13,27
2020-04-14,29
2020-04-15,31
2020-04-16,32
2020-04-17,30
2020-04-18,37
2020-04-19,33
2020-04-20,38
2020-04-21,33
2020-04-22,33
2020-04-23,38
2020-04-24,33
2020-04-25,38
2020-04-26,36
2020-04-27,34
2020-04-28,36
2020-04-29,47
2020-04-30,44
2020-05-01,36
2020-05-02,36
2020-05-03,38
2020-05-04,37
2020-05-05,38
2020-05-06,35
2020-05-07,37
2020-05-08,39
2020-05-09,35
2020-05-10,40
2020-05-11,37
2020-05-12,36
2020-05-13,37
2020-05-14,38
2020-05-15,36
2020-05-16,31
2020-05-17,36
2020-05-18,42
2020-05-19,35
2020-05-20,35
2020-05-21,36
2020-05-22,36
2020-05-23,33
2020-05-24,33
2020-05-25,34
2020-05-26,37
2020-05-27,36
2020-05-28,37
2020-05-29,38
2020-05-30,42
2020-05-31,41
2020-06-01,38
2020-06-02,49
2020-06-03,40
2020-06-04,43
2020-06-05,36
2020-06-06,35
2020-06-07,35
2020-06-08,37
2020-06-09,42
2020-06-10,43
2020-06-11,39
2020-06-12,40
2020-06-13,32
2020-06-14,33
2020-06-15,39
2020-06-16,36
2020-06-17,38
2020-06-18,36
2020-06-19,36
2020-06-20,33
2020-06-21,31
2020-06-22,40
2020-06-23,44
2020-06-24,42
2020-06-25,39
2020-06-26,35
2020-06-27,34
2020-06-28,35
2020-06-29,39
2020-06-30,40
2020-07-01,40
2020-07-02,38
2020-07-03,37
2020-07-04,32
2020-07-05,33
2020-07-06,41
2020-07-07,43
2020-07-08,43
2020-07-09,43
2020-07-10,36
2020-07-11,36
2020-07-12,37
2020-07-13,45
2020-07-14,39
2020-07-15,38
2020-07-16,38
2020-07-17,39
2020-07-18,34
2020-07-19,38
2020-07-20,42
2020-07-21,43
2020-07-22,41
2020-07-23,61
2020-07-24,59
2020-07-25,62
2020-07-26,81
2020-07-27,93
2020-07-28,72
2020-07-29,63
2020-07-30,55
2020-07-31,73
2020-08-01,82
2020-08-02,99
2020-08-03,83
2020-08-04,80
2020-08-05,69
2020-08-06,66
2020-08-07,62
2020-08-08,59
2020-08-09,60
2020-08-10,57
2020-08-11,63
2020-08-12,57
2020-08-13,67
2020-08-14,85
2020-08-15,71
2020-08-16,70
2020-08-17,65
2020-08-18,59
2020-08-19,62
2020-08-20,54
2020-08-21,58
2020-08-22,54
2020-08-23,53
2020-08-24,49
2020-08-25,53
2020-08-26,52
2020-08-27,48
2020-08-28,46
2020-08-29,45
2020-08-30,55
2020-08-31,60
2020-09-01,88
2020-09-02,81
2020-09-03,67
2020-09-04,65
2020-09-05,63
2020-09-06,60
2020-09-07,56
2020-09-08,51
2020-09-09,51
2020-09-10,53
2020-09-11,44
2020-09-12,47
2020-09-13,46
2020-09-14,55
2020-09-15,54
2020-09-16,51
2020-09-17,65
2020-09-18,60
2020-09-19,49
2020-09-20,46
2020-09-21,53
2020-09-22,45
2020-09-23,52
2020-09-24,47
2020-09-25,43
2020-09-26,38
2020-09-27,42
2020-09-28,45
2020-09-29,45
2020-09-30,42
2020-10-01,42
2020-10-02,43
2020-10-03,32
2020-10-04,36
2020-10-05,40
2020-10-06,42
2020-10-07,36
2020-10-08,38
2020-10-09,39
2020-10-10,34
2020-10-11,34
2020-10-12,42
2020-10-13,40
2020-10-14,38
2020-10-15,35
2020-10-16,35
2020-10-17,31
2020-10-18,37
2020-10-19,38
2020-10-20,34
2020-10-21,46
2020-10-22,52
2020-10-23,49
2020-10-24,39
2020-10-25,37
2020-10-26,41
2020-10-27,47
2020-10-28,39
2020-10-29,39
2020-10-30,36
2020-10-31,35
2020-11-01,35
2020-11-02,39
2020-11-03,38
2020-11-04,41
2020-11-05,46
2020-11-06,54
2020-11-07,54
2020-11-08,47
2020-11-09,44
2020-11-10,39
2020-11-11,52
2020-11-12,49
2020-11-13,49
2020-11-14,44
2020-11-15,39
2020-11-16,47
2020-11-17,53
2020-11-18,64
2020-11-19,57
2020-11-20,64
2020-11-21,71
2020-11-22,72
2020-11-23,94
2020-11-24,100
2020-11-25,72
2020-11-26,71
2020-11-27,56
2020-11-28,53
2020-11-29,51
2020-11-30,71
