Category: All categories

Day,crypto: (Worldwide)
2020-04-01,34
2020-04-02,34
2020-04-03,33
2020-04-04,35
2020-04-05,31
2020-04-06,42
2020-04-07,40
2020-04-08,47
2020-04-09,43
2020-04-10,45
2020-04-11,42
2020-04-12,37
2020-04-13,42
2020-04-14,36
2020-04-15,34
2020-04-16,39
2020-04-17,37
2020-04-18,36
2020-04-19,38
2020-04-20,38
2020-04-21,33
2020-04-22,40
2020-04-23,41
2020-04-24,36
2020-04-25,44
2020-04-26,40
2020-04-27,42
2020-04-28,42
2020-04-29,46
2020-04-30,49
2020-05-01,44
2020-05-02,45
2020-05-03,43
2020-05-04,41
2020-05-05,42
2020-05-06,46
2020-05-07,51
2020-05-08,52
2020-05-09,53
2020-05-10,64
2020-05-11,52
2020-05-12,49
2020-05-13,49
2020-05-14,48
2020-05-15,44
2020-05-16,50
2020-05-17,47
2020-05-18,47
2020-05-19,44
2020-05-20,41
2020-05-21,43
2020-05-22,42
2020-05-23,44
2020-05-24,47
2020-05-25,44
2020-05-26,44
2020-05-27,42
2020-05-28,44
2020-05-29,41
2020-05-30,47
2020-05-31,44
2020-06-01,43
2020-06-02,43
2020-06-03,40
2020-06-04,44
2020-06-05,40
2020-06-06,39
2020-06-07,46
2020-06-08,45
2020-06-09,45
2020-06-10,44
2020-06-11,41
2020-06-12,42
2020-06-13,39
2020-06-14,37
2020-06-15,37
2020-06-16,40
2020-06-17,42
2020-06-18,45
2020-06-19,43
2020-06-20,40
2020-06-21,41
2020-06-22,45
2020-06-23,43
2020-06-24,43
2020-06-25,42
2020-06-26,56
2020-06-27,40
2020-06-28,39
2020-06-29,38
2020-06-30,42
2020-07-01,43
2020-07-02,43
2020-07-03,39
2020-07-04,39
2020-07-05,38
2020-07-06,44
2020-07-07,47
2020-07-08,60
2020-07-09,51
2020-07-10,44
2020-07-11,43
2020-07-12,45
2020-07-13,50
2020-07-14,51
2020-07-15,53
2020-07-16,53
2020-07-17,47
2020-07-18,45
2020-07-19,44
2020-07-20,46
2020-07-21,49
2020-07-22,52
2020-07-23,53
2020-07-24,48
2020-07-25,53
2020-07-26,58
2020-07-27,65
2020-07-28,61
2020-07-29,58
2020-07-30,54
2020-07-31,59
2020-08-01,74
2020-08-02,73
2020-08-03,65
2020-08-04,62
2020-08-05,58
2020-08-06,61
2020-08-07,56
2020-08-08,59
2020-08-09,62
2020-08-10,64
2020-08-11,69
2020-08-12,67
2020-08-13,72
2020-08-14,72
2020-08-15,69
2020-08-16,77
2020-08-17,80
2020-08-18,67
2020-08-19,69
2020-08-20,68
2020-08-21,67
2020-08-22,65
2020-08-23,62
2020-08-24,57
2020-08-25,62
2020-08-26,60
2020-08-27,54
2020-08-28,54
2020-08-29,54
2020-08-30,64
2020-08-31,62
2020-09-01,65
2020-09-02,69
2020-09-03,64
2020-09-04,61
2020-09-05,61
2020-09-06,55
2020-09-07,49
2020-09-08,48
2020-09-09,100
2020-09-10,51
2020-09-11,51
2020-09-12,49
2020-09-13,59
2020-09-14,50
2020-09-15,51
2020-09-16,49
2020-09-17,49
2020-09-18,53
2020-09-19,47
2020-09-20,49
2020-09-21,51
2020-09-22,48
2020-09-23,46
2020-09-24,45
2020-09-25,40
2020-09-26,39
2020-09-27,41
2020-09-28,46
2020-09-29,43
2020-09-30,45
2020-10-01,44
2020-10-02,37
2020-10-03,42
2020-10-04,38
2020-10-05,42
2020-10-06,43
2020-10-07,38
2020-10-08,42
2020-10-09,39
2020-10-10,39
2020-10-11,40
2020-10-12,39
2020-10-13,39
2020-10-14,38
2020-10-15,40
2020-10-16,37
2020-10-17,38
2020-10-18,37
2020-10-19,39
2020-10-20,38
2020-10-21,55
2020-10-22,54
2020-10-23,42
2020-10-24,43
2020-10-25,43
2020-10-26,39
2020-10-27,48
2020-10-28,44
2020-10-29,40
2020-10-30,39
2020-10-31,41
2020-11-01,40
2020-11-02,45
2020-11-03,43
2020-11-04,33
2020-11-05,43
2020-11-06,45
2020-11-07,45
2020-11-08,44
2020-11-09,47
2020-11-10,53
2020-11-11,50
2020-11-12,50
2020-11-13,52
2020-11-14,51
2020-11-15,50
2020-11-16,50
2020-11-17,61
2020-11-18,60
2020-11-19,56
2020-11-20,60
2020-11-21,77
2020-11-22,75
2020-11-23,76
2020-11-24,100
2020-11-25,83
2020-11-26,84
2020-11-27,61
2020-11-28,65
2020-11-29,64
2020-11-30,70
