Category: All categories

Day,ripple: (Worldwide)
2019-09-01,53
2019-09-02,59
2019-09-03,63
2019-09-04,72
2019-09-05,59
2019-09-06,65
2019-09-07,84
2019-09-08,62
2019-09-09,59
2019-09-10,62
2019-09-11,64
2019-09-12,71
2019-09-13,59
2019-09-14,60
2019-09-15,65
2019-09-16,72
2019-09-17,88
2019-09-18,100
2019-09-19,70
2019-09-20,66
2019-09-21,65
2019-09-22,60
2019-09-23,64
2019-09-24,83
2019-09-25,80
2019-09-26,67
2019-09-27,65
2019-09-28,65
2019-09-29,64
2019-09-30,64
2019-10-01,67
2019-10-02,63
2019-10-03,63
2019-10-04,67
2019-10-05,68
2019-10-06,74
2019-10-07,73
2019-10-08,68
2019-10-09,61
2019-10-10,60
2019-10-11,58
2019-10-12,54
2019-10-13,61
2019-10-14,62
2019-10-15,65
2019-10-16,53
2019-10-17,73
2019-10-18,68
2019-10-19,65
2019-10-20,64
2019-10-21,62
2019-10-22,65
2019-10-23,68
2019-10-24,64
2019-10-25,68
2019-10-26,76
2019-10-27,61
2019-10-28,62
2019-10-29,66
2019-10-30,67
2019-10-31,59
2019-11-01,63
2019-11-02,69
2019-11-03,77
2019-11-04,70
2019-11-05,78
2019-11-06,74
2019-11-07,78
2019-11-08,75
2019-11-09,60
2019-11-10,73
2019-11-11,64
2019-11-12,58
2019-11-13,55
2019-11-14,63
2019-11-15,64
2019-11-16,54
2019-11-17,61
2019-11-18,61
2019-11-19,60
2019-11-20,59
2019-11-21,62
2019-11-22,61
2019-11-23,61
2019-11-24,61
2019-11-25,60
2019-11-26,59
2019-11-27,57
2019-11-28,57
2019-11-29,50
2019-11-30,50
2019-12-01,50
2019-12-02,57
2019-12-03,62
2019-12-04,58
2019-12-05,59
2019-12-06,58
2019-12-07,63
2019-12-08,55
2019-12-09,56
2019-12-10,50
2019-12-11,58
2019-12-12,59
2019-12-13,50
2019-12-14,55
2019-12-15,76
2019-12-16,58
2019-12-17,66
2019-12-18,61
2019-12-19,60
2019-12-20,64
2019-12-21,69
2019-12-22,63
2019-12-23,70
2019-12-24,72
2019-12-25,53
2019-12-26,54
2019-12-27,45
2019-12-28,57
2019-12-29,60
2019-12-30,56
2019-12-31,56
2020-01-01,46
2020-01-02,53
2020-01-03,58
2020-01-04,51
2020-01-05,60
2020-01-06,69
2020-01-07,69
2020-01-08,68
2020-01-09,57
2020-01-10,54
2020-01-11,61
2020-01-12,57
2020-01-13,61
2020-01-14,67
2020-01-15,76
2020-01-16,69
2020-01-17,68
2020-01-18,66
2020-01-19,92
2020-01-20,63
2020-01-21,67
2020-01-22,59
2020-01-23,61
2020-01-24,62
2020-01-25,53
2020-01-26,60
2020-01-27,67
2020-01-28,61
2020-01-29,63
2020-01-30,67
2020-01-31,65
2020-02-01,59
2020-02-02,64
2020-02-03,60
2020-02-04,75
2020-02-05,85
2020-02-06,80
2020-02-07,69
2020-02-08,60
2020-02-09,89
2020-02-10,66
2020-02-11,67
2020-02-12,83
2020-02-13,100
2020-02-14,80
2020-02-15,74
2020-02-16,73
2020-02-17,77
2020-02-18,74
2020-02-19,76
2020-02-20,67
2020-02-21,68
2020-02-22,62
2020-02-23,86
2020-02-24,63
2020-02-25,60
2020-02-26,67
2020-02-27,70
2020-02-28,62
2020-02-29,58
2020-03-01,57
2020-03-02,58
2020-03-03,56
2020-03-04,60
2020-03-05,61
2020-03-06,62
2020-03-07,51
2020-03-08,86
2020-03-09,65
2020-03-10,60
2020-03-11,56
2020-03-12,70
2020-03-13,65
2020-03-14,63
2020-03-15,59
2020-03-16,66
2020-03-17,56
2020-03-18,53
2020-03-19,57
2020-03-20,53
2020-03-21,51
2020-03-22,52
2020-03-23,52
2020-03-24,55
2020-03-25,52
2020-03-26,52
2020-03-27,59
2020-03-28,55
2020-03-29,52
2020-03-30,52
2020-03-31,56
2020-04-01,50
2020-04-02,57
2020-04-03,50
2020-04-04,52
2020-04-05,46
2020-04-06,60
2020-04-07,62
2020-04-08,62
2020-04-09,59
2020-04-10,51
2020-04-11,51
2020-04-12,59
2020-04-13,52
2020-04-14,48
2020-04-15,53
2020-04-16,58
2020-04-17,51
2020-04-18,53
2020-04-19,57
2020-04-20,54
2020-04-21,55
2020-04-22,54
2020-04-23,52
2020-04-24,55
2020-04-25,54
2020-04-26,53
2020-04-27,53
2020-04-28,66
2020-04-29,70
2020-04-30,65
